Karitiana,Tupian,Arikem,,1,1,,0,1,1,1,3,0,1,,0,0,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,1
Kurțp,Sino-Tibetan,Tibeto-Kanauri,,0,0,,,1,1,0,,0,1,,1,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,1
Leti,Austronesian,Malayo-Polynesian,,1,1,,0,1,1,0,1,0,2,,0,1,1,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,1
Maithili,Indo-European,Indo-Iranian,,0,1,,,1,0,0,1,0,0,,0,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Masbatenyo,Austronesian,Malayo-Polynesian,,0,1,,,1,1,1,1,0,1,,0,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,1
Menominee,Algonquin,Central,,1,0,,1,1,1,0,,1,1,,0,1,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,,1
"Nahuatl, Balsas",Uto-Aztecan,Southern Uto-Aztecan,,0,1,,,1,0,1,,0,0,,1,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,1
Norwegian,Indo-European,Germanic,,1,1,,0,1,0,1,,0,3,,1,1,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,1
Piraḥ,Mura,,,0,2,,,1,0,1,,0,1,,1,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,1
Polish,Indo-European,Slavic,,1,1,1,0,1,1,1,3,0,0,,0,0,,,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,1
Pomo (Southern),Hokan,Pomoan,,1,1,,0,0,1,0,2,0,1,,0,0,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,1
