Subject,Sentence,Type,Reading,Blank,NonBlank,NumAboveAverage,PercentAboveAverage
19,D,2,1,0,71,25,0.352112676056338
19,D,2,2,0,95,14,0.14736842105263157
19,D,3,1,0,89,34,0.38202247191011235
19,D,3,2,0,83,37,0.4457831325301205
19,E,1,1,0,109,66,0.6055045871559633
19,E,1,2,0,105,63,0.6
19,E,2,1,0,98,74,0.7551020408163265
19,E,2,2,0,98,52,0.5306122448979592
19,E,3,1,0,48,13,0.2708333333333333
19,F,1,1,0,59,44,0.7457627118644068
19,F,1,2,0,48,34,0.7083333333333334
19,F,3,1,0,30,21,0.7
19,F,3,2,0,48,14,0.2916666666666667
20,D,1,1,0,72,30,0.4166666666666667
20,D,1,2,0,72,36,0.5
20,D,2,1,0,56,11,0.19642857142857142
20,D,2,2,0,57,10,0.17543859649122806
20,D,3,1,0,47,10,0.2127659574468085
20,D,3,2,0,36,13,0.3611111111111111
20,E,1,1,0,60,31,0.5166666666666667
20,E,1,2,0,77,40,0.5194805194805194
20,E,3,1,0,66,39,0.5909090909090909
20,E,3,2,0,39,11,0.28205128205128205
20,F,1,1,0,35,13,0.37142857142857144
20,F,1,2,0,32,10,0.3125
20,F,3,1,0,27,13,0.48148148148148145
20,F,3,2,0,32,8,0.25
21,D,1,1,0,63,13,0.20634920634920634
21,D,1,2,0,60,30,0.5
21,D,2,1,0,63,29,0.4603174603174603
21,D,2,2,0,18,4,0.2222222222222222
21,D,3,1,0,40,5,0.125
21,D,3,2,0,51,29,0.5686274509803921
21,E,1,1,0,63,28,0.4444444444444444
21,E,1,2,0,69,35,0.5072463768115942
21,E,2,1,0,72,51,0.7083333333333334
21,E,2,2,0,77,17,0.22077922077922077
21,E,3,1,0,56,0,0.0
21,E,3,2,0,69,11,0.15942028985507245
21,F,1,1,0,36,21,0.5833333333333334
21,F,1,2,0,33,18,0.5454545454545454
21,F,3,1,0,26,0,0.0
21,F,3,2,0,24,0,0.0
22,D,1,1,0,67,41,0.6119402985074627
22,D,1,2,0,45,26,0.5777777777777777
22,D,2,1,0,27,15,0.5555555555555556
22,D,2,2,0,59,7,0.11864406779661017
22,D,3,1,0,45,7,0.15555555555555556
22,D,3,2,0,43,30,0.6976744186046512
22,E,1,1,0,61,23,0.3770491803278688
22,E,1,2,0,53,10,0.18867924528301888
22,E,2,1,0,61,33,0.5409836065573771
22,E,2,2,0,54,37,0.6851851851851852
22,E,3,1,0,67,16,0.23880597014925373
22,E,3,2,0,47,0,0.0
22,F,1,1,0,43,28,0.6511627906976745
22,F,1,2,0,37,20,0.5405405405405406
22,F,3,1,0,25,11,0.44
22,F,3,2,0,25,0,0.0
23,D,1,1,0,62,62,1.0
23,D,1,2,0,71,71,1.0
23,D,2,1,0,47,47,1.0
23,D,2,2,0,43,43,1.0
23,D,3,1,0,51,51,1.0
23,D,3,2,0,62,62,1.0
23,E,1,1,0,71,42,0.5915492957746479
23,E,1,2,0,54,54,1.0
23,E,2,1,0,60,60,1.0
23,E,2,2,0,62,62,1.0
23,E,3,1,0,54,44,0.8148148148148148
23,F,1,1,0,40,40,1.0
23,F,1,2,0,49,31,0.6326530612244898
23,F,3,1,0,30,24,0.8
23,F,3,2,0,39,29,0.7435897435897436
24,D,1,1,0,58,26,0.4482758620689655
24,D,1,2,0,65,22,0.3384615384615385
24,D,2,1,0,49,45,0.9183673469387755
24,D,2,2,0,49,22,0.4489795918367347
24,D,3,1,0,57,53,0.9298245614035088
24,D,3,2,0,47,47,1.0
24,E,1,1,0,58,13,0.22413793103448276
